"rooms";"separate_rooms";"area";"sity";"street";"house";"floor";"max_floor";"house_type";"total_square";"live_square";"kitchen_square";"year";"repare_year";"balcony";"total_price";"price"
"к";"2";"Сов";"Минск";"Красная ул.";"22";"8";"8";"к";"53,4";"18,4";"9,2";"1958";"";"б";"96210";"5242"
"к";"3";"Фр";"Минск";"Каменногорская ул.";"108";"6";"9";"п";"79,2";"29,7";"10,2";"2013";"";"лз";"96210";"3239"
"к";"4";"Фр";"Минск";"Пушкина просп.";"59";"3";"5";"п";"59";"35";"5,7";"1966";"";"бз";"101555";"2901"
"к";"4";"Мос";"Минск";"Слободская ул.";"117";"1в";"9";"п";"81,9";"41,8";"7,2";"1996";"";"лз";"102624";"2454"
"к";"3";"Фр";"Минск";"Мавра ул.";"36";"1";"5";"б";"66,3";"32";"7,4";"1972";"";"лз";"102624";"3207"
"к";"4";"Цен";"Минск";"Немига ул.";"12";"11";"11";"к";"83,2";"27,3";"9,5";"1990";"";"лз";"106472";"3900"
"к";"5";"Пер";"Минск";"Козлова ул.";"31";"1";"5";"к";"94,1";"34,8";"10,6";"1961";"2010";"-";"111817";"3213"
"к";"3";"Лен";"Брест";"Советская ул.";"";"2";"9";"к";"70,8";"47,5";"9,4";"1975";"";"2л";"117590";"2476"
"к";"6";"Мос";"Минск";"Хмелевского ул.";"33";"2";"4";"сб";"103";"63,2";"10,5";"1965";"2000";"-";"138970";"2198"
"к";"4";"Цен";"Минск";"Городской Вал ул.";"10";"2";"5";"к";"98,9";"59";"7,2";"1956";"";"-";"149446";"2534"
"к";"3";"";"Лесной";"37";"";"7";"п";"";"76,2";"17,2";"10,2";"";"";"лз";"";""
"к";"2";"";"Бобруйск";"Октябрьская ул.";"88";"1в";"3";"к";"75,3";"22";"6,9";"1959";"";"-";"";""
"к";"2";"";"Осиповичи";"Сумченко ул.";"83";"6";"6";"к";"58,1";"20,8";"9,9";"2003";"";"л";"";""
"к";"2";"Окт";"Минск";"Кижеватова ул.";"76";"1в";"9";"п";"49,5";"13,9";"7,2";"1977";"";"-";"";""
